date,PSF
2017-01-19,84762.25
2017-01-19,83888.0
2017-01-19,83098.5
2017-01-19,82082.75
2017-01-19,81173.75
2017-01-19,80478.25
2017-01-19,79629.25
2017-01-19,79476.75
2017-01-19,81087.5
2017-01-19,84354.0
2017-01-19,85519.75
2017-01-19,84677.75
2017-01-19,82694.0
2017-01-19,79198.75
2017-01-19,74660.5
2017-01-20,70902.75
2017-01-20,68635.75
2017-01-20,67185.5
2017-01-20,66357.5
2017-01-20,66435.75
2017-01-20,67856.5
2017-01-20,72480.75
2017-01-20,78860.0
2017-01-20,81195.5
2017-01-20,80912.0
2017-01-20,80925.0
2017-01-20,80556.25
2017-01-20,79977.0
2017-01-20,79479.5
2017-01-20,79088.0
2017-01-20,78272.25
2017-01-20,77599.25
2017-01-20,78585.5
2017-01-20,80712.5
2017-01-20,81129.0
2017-01-20,79738.5
2017-01-20,77870.0
2017-01-20,75163.75
2017-01-20,71382.0
2017-01-21,67577.5
2017-01-21,64872.5
2017-01-21,62923.5
2017-01-21,62006.5
2017-01-21,61691.5
2017-01-21,62159.5
2017-01-21,63423.0
2017-01-21,66046.5
2017-01-21,68561.0
2017-01-21,70836.0
2017-01-21,72459.5
2017-01-21,72934.0
2017-01-21,72736.0
2017-01-21,71954.5
2017-01-21,71452.0
2017-01-21,70795.5
2017-01-21,70950.0
2017-01-21,72785.0
2017-01-21,76011.0
2017-01-21,76251.0
2017-01-21,74982.5
2017-01-21,73286.5
2017-01-21,70927.0
2017-01-21,67647.5
2017-01-22,64596.0
2017-01-22,62498.0
2017-01-22,60967.0
2017-01-22,60330.0
2017-01-22,59932.0
2017-01-22,60142.0
2017-01-22,60962.0
2017-01-22,62858.0
2017-01-22,65612.0
2017-01-22,67637.0
2017-01-22,69268.0
2017-01-22,69923.0
2017-01-22,70197.0
2017-01-22,70471.0
2017-01-22,70096.0
2017-01-22,69843.0
2017-01-22,70250.0
2017-01-22,72004.0
2017-01-22,76166.0
2017-01-22,77804.0
2017-01-22,77501.0
2017-01-22,75371.0
2017-01-22,72609.0
2017-01-22,68796.0
2017-01-23,68732.66666666667
2017-01-23,66643.33333333333
2017-01-23,65622.33333333333
2017-01-23,65107.666666666664
2017-01-23,65683.66666666667
2017-01-23,68136.33333333333
2017-01-23,73848.0
2017-01-23,81273.33333333333
2017-01-23,84406.0
2017-01-23,84296.66666666667
2017-01-23,84070.66666666667
2017-01-23,83631.33333333333
2017-01-23,82886.66666666667
2017-01-23,82078.0
2017-01-23,81535.0
2017-01-23,80748.33333333333
2017-01-23,80711.0
2017-01-23,82978.0
2017-01-23,86847.66666666667
2017-01-23,87690.33333333333
2017-01-23,86762.66666666667
2017-01-23,84712.66666666667
2017-01-23,81444.0
2017-01-23,77003.33333333333
2017-01-24,73916.0
2017-01-24,71439.42857142857
2017-01-24,70002.57142857143
2017-01-24,69249.42857142857
2017-01-24,69495.42857142857
2017-01-24,71137.42857142857
2017-01-24,75861.85714285714
2017-01-24,82481.42857142857
2017-01-24,85190.42857142857
2017-01-24,84824.85714285714
2017-01-24,84496.85714285714
2017-01-24,84087.0
2017-01-24,83203.28571428571
2017-01-24,82507.0
2017-01-24,81983.28571428571
2017-01-24,81161.42857142857
2017-01-24,80795.14285714286
2017-01-24,82338.0
2017-01-24,85546.0
2017-01-24,86875.85714285714
2017-01-24,85841.42857142857
2017-01-24,83789.28571428571
2017-01-24,80388.85714285714
2017-01-24,76000.28571428571
2017-01-25,72573.0
2017-01-25,70483.0
2017-01-25,69331.66666666667
2017-01-25,68833.0
2017-01-25,69185.0
2017-01-25,70764.66666666667
2017-01-25,75735.33333333333
2017-01-25,82577.33333333333
2017-01-25,85065.66666666667
2017-01-25,84549.33333333333
2017-01-25,84405.33333333333
2017-01-25,84221.0
2017-01-25,83635.33333333333
2017-01-25,83161.0
2017-01-25,82703.33333333333
2017-01-25,82134.66666666667
2017-01-25,81792.33333333333
2017-01-25,83115.0
2017-01-25,86297.33333333333
2017-01-25,87927.33333333333
2017-01-25,87179.33333333333
2017-01-25,85325.33333333333
2017-01-25,82130.0
2017-01-25,78006.66666666667
2017-01-26,75057.83333333333
2017-01-26,72876.5
2017-01-26,71594.5
2017-01-26,71028.83333333333
2017-01-26,71300.16666666667
2017-01-26,72806.16666666667
2017-01-26,77280.5
2017-01-26,84002.0
2017-01-26,86712.5
2017-01-26,86625.16666666667
2017-01-26,86384.66666666667
2017-01-26,85875.66666666667
2017-01-26,85079.0
2017-01-26,84257.33333333333
2017-01-26,83664.5
2017-01-26,83589.16666666667
2017-01-26,83525.16666666667
2017-01-26,85644.83333333333
2017-01-26,89540.83333333333
2017-01-26,90873.83333333333
2017-01-26,90103.83333333333
2017-01-26,88379.33333333333
2017-01-26,85208.0
2017-01-26,80943.16666666667
2017-01-27,79516.75
2017-01-27,77311.25
2017-01-27,76174.25
2017-01-27,75734.75
2017-01-27,76180.25
2017-01-27,78161.5
2017-01-27,83159.0
2017-01-27,90050.75
2017-01-27,92859.0
2017-01-27,92642.0
2017-01-27,92232.5
2017-01-27,91506.25
2017-01-27,90362.5
2017-01-27,89052.0
2017-01-27,88243.25
2017-01-27,87226.25
2017-01-27,86942.5
2017-01-27,88483.5
2017-01-27,91915.5
2017-01-27,92457.25
2017-01-27,91268.75
2017-01-27,89640.5
2017-01-27,87040.0
2017-01-27,83500.5
2017-01-28,79620.0
2017-01-28,77215.5
2017-01-28,75621.0
2017-01-28,74956.5
2017-01-28,75034.5
2017-01-28,76180.5
2017-01-28,78002.5
2017-01-28,81121.0
2017-01-28,83930.0
2017-01-28,85327.0
2017-01-28,85145.5
2017-01-28,83790.5
2017-01-28,81700.0
2017-01-28,79629.0
2017-01-28,77677.0
2017-01-28,76409.5
2017-01-28,76247.0
2017-01-28,78552.0
2017-01-28,82903.0
2017-01-28,84153.0
2017-01-28,83862.0
2017-01-28,82761.0
2017-01-28,80867.0
2017-01-28,77811.0
2017-01-29,74835.66666666667
2017-01-29,72569.66666666667
2017-01-29,71308.0
2017-01-29,70619.66666666667
2017-01-29,70528.66666666667
2017-01-29,71184.0
2017-01-29,72471.66666666667
2017-01-29,74583.0
2017-01-29,76854.33333333333
2017-01-29,78344.66666666667
2017-01-29,78682.66666666667
2017-01-29,77713.66666666667
2017-01-29,76587.33333333333
2017-01-29,75816.66666666667
2017-01-29,74884.0
2017-01-29,74312.0
2017-01-29,74790.33333333333
2017-01-29,77724.0
2017-01-29,82439.33333333333
2017-01-29,83994.33333333333
2017-01-29,83716.0
2017-01-29,82289.33333333333
2017-01-29,79518.66666666667
2017-01-29,76320.0
2017-01-30,75169.5
2017-01-30,73779.0
2017-01-30,73287.0
2017-01-30,73530.0
2017-01-30,74648.0
2017-01-30,77231.5
2017-01-30,82975.0
2017-01-30,90512.0
2017-01-30,93266.0
2017-01-30,91975.0
2017-01-30,90548.0
2017-01-30,88960.0
2017-01-30,87191.0
2017-01-30,85495.5
2017-01-30,84453.5
2017-01-30,84789.5
2017-01-30,84571.0
2017-01-30,86584.0
2017-01-30,91492.5
2017-01-30,91818.0
2017-01-30,91293.5
2017-01-30,89365.5
2017-01-30,85878.0
2017-01-30,81788.0
2017-01-31,73310.5
2017-01-31,71095.5
2017-01-31,69341.5
2017-01-31,68826.0
2017-01-31,69232.5
2017-01-31,71104.0
2017-01-31,76096.0
2017-01-31,82812.0
2017-01-31,85087.0
2017-01-31,84512.0
2017-01-31,85585.0
2017-01-31,85200.0
2017-01-31,84459.0
2017-01-31,82027.0
2017-01-31,81537.5
2017-01-31,80752.0
2017-01-31,80331.5
