,id,cluster_label
521,2007-06-09,5
522,2007-06-10,3
523,2007-06-11,0
524,2007-06-12,3
525,2007-06-13,3
526,2007-06-14,0
527,2007-06-15,3
528,2007-06-16,0
529,2007-06-17,0
530,2007-06-18,1
531,2007-06-19,0
532,2007-06-20,0
533,2007-06-21,0
534,2007-06-22,3
535,2007-06-23,3
536,2007-06-24,3
537,2007-06-25,2
538,2007-06-26,0
539,2007-06-27,3
540,2007-06-28,0
541,2007-06-29,0
542,2007-06-30,3
543,2007-07-01,0
544,2007-07-02,0
545,2007-07-03,0
546,2007-07-04,2
547,2007-07-05,0
548,2007-07-06,0
549,2007-07-07,0
550,2007-07-08,3
551,2007-07-09,0
552,2007-07-10,3
553,2007-07-11,0
554,2007-07-12,3
555,2007-07-13,0
556,2007-07-14,0
557,2007-07-15,0
558,2007-07-16,3
559,2007-07-17,0
560,2007-07-18,3
561,2007-07-19,3
562,2007-07-20,0
563,2007-07-21,3
564,2007-07-22,3
565,2007-07-23,3
566,2007-07-24,3
567,2007-07-25,3
568,2007-07-26,0
569,2007-07-27,0
570,2007-07-28,0
571,2007-07-29,0
572,2007-07-30,3
573,2007-07-31,3
574,2007-08-01,0
575,2007-08-02,1
576,2007-08-03,0
577,2007-08-04,0
578,2007-08-05,0
579,2007-08-06,3
580,2007-08-07,3
581,2007-08-08,0
582,2007-08-09,0
583,2007-08-10,0
584,2007-08-11,2
585,2007-08-12,0
586,2007-08-13,3
587,2007-08-14,3
588,2007-08-15,3
589,2007-08-16,0
590,2007-08-17,3
591,2007-08-18,3
592,2007-08-19,3
593,2007-08-20,0
594,2007-08-21,0
595,2007-08-22,0
596,2007-08-23,3
597,2007-08-24,3
598,2007-08-25,0
599,2007-08-26,0
600,2007-08-27,3
601,2007-08-28,0
602,2007-08-29,0
603,2007-08-30,0
604,2007-08-31,4
605,2007-09-01,3
606,2007-09-02,0
607,2007-09-03,1
608,2007-09-04,3
609,2007-09-05,2
610,2007-09-06,0
611,2007-09-07,0
612,2007-09-08,0
613,2007-09-09,3
614,2007-09-10,0
615,2007-09-11,0
616,2007-09-12,3
617,2007-09-13,0
618,2007-09-14,4
619,2007-09-15,3
620,2007-09-16,0
621,2007-09-17,0
622,2007-09-18,3
623,2007-09-19,1
624,2007-09-20,3
625,2007-09-21,5
626,2007-09-22,3
627,2007-09-23,3
628,2007-09-24,4
629,2007-09-25,4
630,2007-09-26,0
631,2007-09-27,4
632,2007-09-28,5
633,2007-09-29,3
634,2007-09-30,5
635,2007-10-01,5
636,2007-10-02,4
637,2007-10-03,5
638,2007-10-04,5
639,2007-10-05,5
640,2007-10-06,4
641,2007-10-07,0
642,2007-10-08,5
643,2007-10-09,4
644,2007-10-10,4
645,2007-10-11,2
646,2007-10-12,5
647,2007-10-13,3
648,2007-10-14,3
649,2007-10-15,2
650,2007-10-16,2
651,2007-10-17,4
652,2007-10-18,4
653,2007-10-19,4
654,2007-10-20,5
655,2007-10-21,5
