date,load1,load2,load3,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13,load14,load15,load16,load17,load18,load19,load20,load21,load22,load23,load24,temp1,temp2,temp3
2015-09-01,86311,80980,77032,74760,73763,74903,79716,85724,89047,93529,99213,105246,110814,115347,119346,121787,122925,123119,121274,118064,116090,114015,106428,97406,82.2,79.4,77.7
2015-09-02,89906,84237,80308,77821,76647,77659,82624,88644,92307,96251,101458,107298,112464,116724,120076,121619,122329,122186,120264,117271,114852,112568,105472,96568,83.9,73.9,79.2
2015-09-03,88816,83310,79382,76789,75710,77053,82001,87947,91540,96197,101724,107753,113411,117600,120441,121931,122869,122861,121061,117727,115092,112733,105664,97112,76.9,73.4,80.2
2015-09-04,89763,83836,79982,77391,76210,77152,81315,86761,90182,94878,100531,106288,111083,115243,118555,120490,121246,120566,117808,113473,110384,107569,101465,94200,76.9,76.2,76.7
2015-09-05,87370,81573,77405,74665,72761,72155,72831,74054,76795,82946,89718,96197,101817,106101,109189,111148,112567,112888,111504,107794,105192,102649,97277,90911,82.8,77.6,77.6
2015-09-06,84692,79747,75864,73258,71383,70322,70664,71234,74112,81088,88491,95304,101577,106996,110886,113280,114485,114826,113416,109485,106516,103336,97770,90862,83.6,80.1,80.5
2015-09-07,84343,79252,75450,72757,71219,70669,71454,72081,74118,80233,87870,95201,101422,105981,109027,110967,112209,112397,111336,108579,107421,105049,98439,90446,80.0,77.8,80.8
2015-09-08,83748,79113,75967,74073,73421,75104,80540,87223,90920,94982,99933,105391,109827,113426,115932,116526,115955,114792,112543,109621,108362,105515,98650,90504,72.4,73.8,72.2
2015-09-09,83784,78763,75617,73607,72678,74089,79067,85041,87186,89356,92219,95078,97330,99523,101184,101962,102258,102116,100741,98606,97901,96241,90361,83018,66.6,65.0,71.6
2015-09-10,77110,73004,70363,68708,68088,69764,74842,80898,83139,85989,89463,92863,95851,98321,100251,101539,101869,101331,99518,96871,96588,94691,88893,81845,63.4,64.3,65.2
2015-09-11,75872,71682,68949,67242,66704,68223,72918,78724,80941,82837,84693,86246,87278,88091,88595,88356,87322,86295,84558,82478,82644,81673,78113,73696,59.20000000000001,57.5,59.5
2015-09-12,69003,65585,63312,61777,61059,61349,62889,64549,66534,69890,72395,74184,75268,75774,76273,76360,76739,76825,76348,75067,75804,75005,71880,67868,60.29999999999999,55.5,57.79999999999999
2015-09-13,63887,60900,58794,57435,56647,56648,57456,58442,60344,63898,66378,68275,69918,71160,72087,73226,75007,76547,77479,77150,78598,77906,73726,68627,67.4,61.20000000000001,61.70000000000001
2015-09-14,64529,61567,60062,59253,59541,61612,66896,73140,75555,77828,80177,82719,84007,86026,89229,91006,92647,93654,93296,91739,92500,90880,85212,78601,73.7,72.3,67.2
2015-09-15,72983,69060,66530,65034,64766,66469,71494,77503,79832,82127,85181,88240,91398,94560,97856,100099,101780,102190,100808,98084,98088,95714,89701,82406,73.5,71.0,69.5
2015-09-16,76087,71931,69081,67245,66766,68053,72895,78966,81209,83995,87914,91786,95553,99579,103127,105571,107122,107810,106615,103840,103059,100052,93640,86062,75.0,70.8,70.5
2015-09-17,79594,74982,71643,69794,69159,70577,75517,81852,84592,87527,90874,94799,98458,102181,105261,107517,108890,109107,107422,104438,103631,100772,94359,86610,74.2,71.0,71.7
2015-09-18,79889,75189,72014,70100,69193,70509,75364,81378,83752,86464,89628,92936,96082,99044,101438,102542,102979,102494,100490,97732,96851,94240,89343,83623,66.8,69.8,71.0
2015-09-19,77680,73137,70055,67861,66552,66247,67285,69309,71291,75285,78780,81440,83246,84536,85575,86417,86948,87145,85964,83825,83782,81788,77725,72909,62.4,58.1,62.1
2015-09-20,68242,64684,62257,60654,59745,59663,60339,61599,63180,67293,70833,73494,76147,78065,79650,80897,82098,82962,83141,82697,84243,82089,77652,72402,64.5,60.29999999999999,62.9
2015-09-21,68049,65049,63180,62232,62260,64278,69465,75706,77912,80103,82275,84737,86629,88780,90712,92193,93448,94142,93627,92016,92378,89517,83839,77121,67.8,61.70000000000001,66.4
2015-09-22,71529,67644,65206,63615,63365,65196,70070,76417,78329,80617,83392,86251,88730,91542,94157,96085,97317,97685,96525,94273,94380,91110,85067,78089,70.6,63.20000000000001,68.6
2015-09-23,72213,68326,65732,64193,63922,65421,70362,76580,78773,81207,84087,87258,90635,93628,96378,98117,99199,99517,98094,95794,95662,92127,86034,79170,69.7,65.2,69.4
2015-09-24,73453,69463,66814,65424,64945,66582,71615,77813,79977,82176,85148,88307,91210,94122,96763,98308,98977,98774,97008,95080,95451,92299,86605,79702,69.6,67.2,69.5
2015-09-25,73795,69862,67284,65639,65004,66556,71453,77531,79581,81727,84693,88093,91000,93698,96131,97496,97927,97307,94778,91595,90901,87642,83097,77782,69.2,65.7,67.7
2015-09-26,72446,68159,65325,63598,62634,62589,64209,66429,68106,71880,75695,78503,80921,82889,84165,84827,85358,85276,84207,83004,83868,81903,78442,73897,70.1,66.5,68.0
2015-09-27,69441,65797,63579,61931,61013,60925,61670,63461,65136,68760,71993,74578,77101,79432,80983,82257,83316,84618,85175,85668,87370,84912,80317,75609,72.4,72.0,71.5
2015-09-28,70788,67668,65835,64732,64768,66903,72596,79669,82206,84049,87028,89704,92457,94970,97148,98254,98310,97908,96770,96490,97169,94089,88771,82478,67.6,68.9,71.6
2015-09-29,76820,72654,69843,68084,67770,69563,74489,81353,83416,84921,86470,87726,88997,90041,90930,90802,90741,90517,89453,89093,90150,87550,82493,76095,59.20000000000001,56.5,62.6
2015-09-30,70952,67390,65235,63787,63581,65223,70297,76751,78318,79651,81088,82675,84211,85322,86610,87049,87164,87102,86062,85760,87299,84692,80129,73957,57.4,52.70000000000001,57.79999999999999
2015-10-01,68957,65782,63721,62417,62169,63884,68872,75214,76716,77596,78767,79729,80400,81507,82432,82658,82718,82617,81538,81676,83912,81655,77277,71959,56.6,51.9,55.79999999999999
2015-10-02,67332,64334,62429,61360,61313,63035,68055,74464,76286,77152,77877,78401,78646,78527,78805,78374,77927,77783,76956,77107,78536,76609,73609,69340,52.9,50.0,49.1
2015-10-03,65158,62443,60353,59358,58870,59578,61335,64297,66364,69351,71199,71799,71856,71530,71074,70549,70779,71281,71523,72698,74142,72683,69855,66231,53.4,52.0,57.9
2015-10-04,62682,60273,58667,57563,57018,57307,58357,60592,62624,65548,67463,68386,68913,69023,69269,69136,69696,70929,71979,73938,76637,74532,71231,66854,58.4,60.0,63.6
2015-10-05,63640,61220,59882,59378,59785,62091,67572,74474,77049,78082,79273,80439,81163,82084,83090,83740,83968,84184,83935,85121,86591,83927,79413,73497,60.79999999999999,59.20000000000001,64.3
2015-10-06,68535,65581,63674,62615,62463,64166,69257,76044,78194,79493,81023,82671,84510,86060,87509,88301,88510,88399,87604,87861,89143,86057,81008,74918,62.29999999999999,58.5,64.1
2015-10-07,69741,66479,64168,62889,62716,64559,69544,76105,78508,79629,81401,83466,85756,87620,89109,89868,90218,90147,89265,89242,90003,86736,81712,75838,64.5,57.20000000000001,67.8
2015-10-08,70584,67185,64832,63664,63509,65263,69955,76732,78844,80178,82343,84700,87038,88927,90585,89957,91248,91087,90384,90444,90850,87723,82884,76744,62.0,61.6,64.5
2015-10-09,71497,67875,65605,64079,63766,65498,70047,76607,78930,80103,81807,83132,84026,84674,85236,84795,84233,83317,82161,82182,82300,80021,76533,71938,55.6,52.0,55.0
